1, George, , Washington, 1789-1797, Independent, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/washington.jpg
2, John, , Adams, 1797-1801, Federalist, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/johnadams.jpg
3, Thomas, , Jefferson, 1801-1809, Democratic-Republican, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/thomasjefferson.jpg
4, James, , Madison, 1809-1817, Democratic-Republican, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/james-madison.jpg
5, James, , Monroe, 1817-1825, Democratic-Republican, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/james-monroe.jpg
6, John, Quincy, Adams, 1825-1829, Democratic-Republican, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/john_quincy_adams.jpg
7, Andrew, , Jackson, 1829-1837, Democrat, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/andrew-jackson.jpg
8, Martin, , Van Buren, 1837-1841, Democrat, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/martin_van_buren.jpg
9, William, Henry, Harrison, 1841-1841, Whig, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/william_harrison.jpg
10, John, , Tyler, 1841-1845, Whig, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/john_tyler.jpg
11, James, Knox, Polk, 1845-1849, Democrat, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/james-polk.jpg
12, Zachary, , Taylor, 1849-1850, Whig, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/zachary-taylor.jpg
13, Millard, , Fillmore, 1850-1853, Whig, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/millard_fillmore.jpg
14, Franklin, , Pierce, 1853-1857, Democrat, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/franklin-pierce.jpg
15, James, , Buchanan, 1857-1861, Democrat, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/james-buchanan.jpg
16, Abraham, , Lincoln, 1861-1865, Republican, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/abraham_lincoln.jpg
17, Andrew, , Johnson, 1865-1869, Democrat, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/andrew-johnson.jpg
18, Ulysses, Simpson, Grant, 1869-1877, Republican, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/ulysses_s_grant.jpg
19, Rutherford, Birchard, Hayes, 1877-1881, Republican, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/hayesresize.jpg
20, James, Abram, Garfield, 1881-1881, Republican, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/james-garfield.jpg
21, Chester, Alan, Arthur, 1881-1885, Republican, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/chester-arthur.jpg
22, Grover, , Cleveland, 1885-1889, Democrat, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/grover-cleveland.jpg
23, Benjamin, , Harrison, 1889-1893, Republican, funFact, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/benjamin-harrison.jpg
